locationId,locationName,pm01,pm02,pm10,pm01_corrected,pm02_corrected,pm10_corrected,pm003Count,atmp,rhum,rco2,atmp_corrected,rhum_corrected,rco2_corrected,tvoc,wifi,timestamp,serialno,model,firmwareVersion,tvocIndex,noxIndex,datapoints
86149,Monitor 1,0.0,0.0,0.0,0.0,0.28799999952316285,0.0,10.0,23.263999938964844,47.040000915527344,507.0659973144531,23.263999938964844,47.040000915527344,507.0659973144531,352.7252563476562,-44.0,2025-12-04T23:25:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,297.25,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.16400000005960463,0.0,5.634000015258789,23.493999862670897,46.396000671386716,500.26800537109375,23.493999862670897,46.396000671386716,500.26800537109375,324.0676635742187,-44.2,2025-12-04T23:30:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,281.4180053710937,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,1.1140000104904175,0.0,38.467999649047854,23.222000122070312,46.43600082397461,484.53199462890626,23.222000122070312,46.43600082397461,484.53199462890626,246.7446075439453,-43.6,2025-12-04T23:35:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,231.46800231933594,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.5960000097751618,0.0,20.56599998474121,23.09799995422363,47.07000045776367,485.0659973144531,23.09799995422363,47.07000045776367,485.0659973144531,259.3960327148437,-44.0,2025-12-04T23:40:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,240.91600036621094,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.4499999970197678,0.0,15.434000015258789,23.51400032043457,46.42999954223633,484.0659973144531,23.51400032043457,46.42999954223633,484.0659973144531,246.89945373535156,-44.2,2025-12-04T23:45:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,232.26600036621093,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.7839999929070472,0.0,27.1,23.663999938964842,45.72999954223633,479.2659973144531,23.663999938964842,45.72999954223633,479.2659973144531,228.0463073730469,-44.0,2025-12-04T23:50:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,218.51600036621093,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,1.071999979019165,0.0,36.96599998474121,23.231999588012695,46.23199996948242,462.6680053710937,23.231999588012695,46.23199996948242,462.6680053710937,173.76116333007812,-44.0,2025-12-04T23:55:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,175.46799926757814,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.48000000715255736,0.0,16.568000030517577,23.352000045776368,46.42999954223633,466.4,23.352000045776368,46.42999954223633,466.4,189.61864624023437,-44.2,2025-12-05T00:00:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,188.81600036621094,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.41000000536441805,0.0,14.131999969482422,23.729999923706053,45.6,466.6,23.729999923706053,45.6,466.6,180.31683044433595,-44.0,2025-12-05T00:05:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,181.11600036621093,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.6679999925196171,0.0,23.068000388145446,23.579999923706055,45.45200042724609,460.33400268554686,23.579999923706055,45.45200042724609,460.33400268554686,161.0014678955078,-44.2,2025-12-05T00:10:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,164.33399963378906,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.9179999947547912,0.0,31.6,23.22400016784668,46.13199996948242,450.66599731445314,23.22400016784668,46.13199996948242,450.66599731445314,137.21997833251953,-44.4,2025-12-05T00:15:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,142.83399963378906,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.6679999947547912,0.0,23.068000030517577,23.44200019836426,45.99600067138672,453.33400268554686,23.44200019836426,45.99600067138672,453.33400268554686,142.68106079101562,-44.2,2025-12-05T00:20:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,148.0,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.4120000034570694,0.0,14.2,23.645999908447266,45.40400009155273,452.0,23.645999908447266,45.40400009155273,452.0,136.8635498046875,-44.0,2025-12-05T00:25:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,142.58399963378906,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.8100000113248825,0.0,27.932000732421876,23.327999877929688,45.567999267578124,443.8020080566406,23.327999877929688,45.567999267578124,443.8020080566406,115.44200744628907,-44.0,2025-12-05T00:30:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,121.76600036621093,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.38799999803304674,0.0,13.400000023841859,23.20599937438965,46.126000213623044,445.73199462890625,23.20599937438965,46.126000213623044,445.73199462890625,113.70507507324218,-43.6,2025-12-05T00:35:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,120.18200073242187,1,5
86149,Monitor 1,0.0,0.0,0.0,0.0,0.3540000021457672,0.0,12.26599998474121,23.47000045776367,45.71800003051758,443.8680053710938,23.47000045776367,45.71800003051758,443.8680053710938,110.52845458984375,-44.0,2025-12-05T00:40:00.000000+0000,744dbdc67e4c,I-9PSL-DE,3.4.1,117.0,1,5
