locationId,locationName,pm01,pm02,pm10,pm01_corrected,pm02_corrected,pm10_corrected,pm003Count,atmp,rhum,rco2,atmp_corrected,rhum_corrected,rco2_corrected,tvoc,wifi,timestamp,serialno,model,firmwareVersion,tvocIndex,noxIndex,datapoints
86149,Monitor 1,3.9575,7.75,8.0,3.9575,13.8425,8.0,477.91498,23.905,60.96,392.0825,23.905,60.96,392.0825,61.76831,-36.0,2025-08-22T01:00:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,64.645004,1,4
86149,Monitor 1,4.034,7.9,8.132,4.034,13.512,8.132,466.568,23.774,61.814,395.066,23.774,61.814,395.066,63.761276,-35.8,2025-08-22T01:05:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,66.9,1,5
86149,Monitor 1,4.368,8.5,8.934,4.368,13.702,8.934,473.098,23.902,61.074,393.46802,23.902,61.074,393.46802,95.965614,-36.0,2025-08-22T01:10:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,102.066,1,5
86149,Monitor 1,3.2979999,6.768,7.0,3.2979999,12.802,7.0,442.03,23.89,58.89,391.268,23.89,58.89,391.268,69.52976,-36.4,2025-08-22T01:15:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,73.216,1,5
86149,Monitor 1,3.366,7.6,8.098,3.366,12.814,8.098,442.5,23.736,59.22,390.932,23.736,59.22,390.932,63.056602,-37.0,2025-08-22T01:20:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,66.184,1,5
86149,Monitor 1,3.332,6.564,7.466,3.332,12.6119995,7.466,435.466,23.838,58.626,392.466,23.838,58.626,392.466,74.43774,-36.2,2025-08-22T01:25:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,78.584,1,5
86149,Monitor 1,2.568,5.768,6.3,2.568,11.884,6.3,410.366,23.972,57.711998,393.134,23.972,57.711998,393.134,105.863335,-36.6,2025-08-22T01:30:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,112.266,1,5
86149,Monitor 1,2.4175,5.5,5.875,2.4175,11.05,5.875,381.6675,23.9475,55.73,392.75,23.9475,55.73,392.75,76.42406,-36.75,2025-08-22T01:35:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,80.7675,1,4
86149,Monitor 1,2.2319999,5.2,6.098,2.2319999,10.875999,6.098,375.566,23.686,56.138,397.732,23.686,56.138,397.732,58.94873,-35.8,2025-08-22T01:40:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,61.484,1,5
86149,Monitor 1,8.7,16.502,20.3,8.7,19.576,20.3,708.798,23.704,56.178,406.0,23.704,56.178,406.0,62.016193,-36.6,2025-08-22T01:45:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,65.0,1,5
86149,Monitor 1,23.532,39.532,51.034,23.532,39.532,51.034,1564.934,23.828,55.691998,412.134,23.828,55.691998,412.134,85.07237,-35.4,2025-08-22T01:50:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,90.318,1,5
86149,Monitor 1,15.666,28.034,34.101997,15.666,28.084,34.101997,969.73596,23.94,55.106,419.6,23.94,55.106,419.6,105.60595,-36.4,2025-08-22T01:55:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,112.016,1,5
86149,Monitor 1,13.165,25.625,33.665,13.165,25.3575,33.665,875.66504,24.0225,54.54,429.9975,24.0225,54.54,429.9975,117.47129,-39.25,2025-08-22T02:00:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,123.895004,1,4
86149,Monitor 1,7.3,20.234,23.934,7.3,20.39,23.934,704.036,23.878,53.596,452.8,23.878,53.596,452.8,94.44582,-36.2,2025-08-22T02:05:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,100.4,1,5
86149,Monitor 1,6.7,19.164,22.832,6.7,19.398,22.832,669.8,23.764,54.424,461.732,23.764,54.424,461.732,93.54451,-35.8,2025-08-22T02:10:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,99.516,1,5
86149,Monitor 1,6.966,18.334,21.202,6.966,18.688,21.202,645.432,23.844,54.134,463.46802,23.844,54.134,463.46802,117.372086,-36.2,2025-08-22T02:15:00.000Z,744dbdc67e4c,I-9PSL-DE,3.3.9,123.566,1,5
